"","SAMPLE_ID","sitename","ENIC","MIUM","DDTs","PPERSL","LEADSL","DDTsSL","Conc_NICKEL","Conc_ZINC","SL_ARSENIC","SL_CADMIUM","SL_CHROMIUM","SL_COPPER","SL_LEAD","SL_MERCURY","SL_NICKEL","SL_ZINC"
"1","CSP-1","East End Beach",7.32,0.151,25.6,7.34,6.08,0.015,15.2,35.7,"Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Below ERL"
"2","CSP-2","Amethyst Lot",7.44,0.496,23.9,26.8,71,0.625,15.4,75,"Below ERL","Below ERL","Below ERL","Below ERL","Between ERL and ERM","Between ERL and ERM","Below ERL","Below ERL"
"3","CSP-3","Maine State Pier/Ocean Gateway",12.2,0.615,63.2,68.4,84.2,0.334,21.5,153,"Between ERL and ERM","Below ERL","Below ERL","Above ERM","Between ERL and ERM","Between ERL and ERM","Between ERL and ERM","Between ERL and ERM"
"4","CSP-4","Maine Wharf",10.8,1.04,27,77.6,420,0.744,17,283,"Between ERL and ERM","Below ERL","Below ERL","Above ERM","Above ERM","Above ERM","Below ERL","Between ERL and ERM"
"5","CSP-5","Portland Pier",23.9,4.21,136,318,1430,3.04,29.8,1480,"Between ERL and ERM","Between ERL and ERM","Between ERL and ERM","Above ERM","Above ERM","Above ERM","Between ERL and ERM","Above ERM"
"6","CSP-6","Chandler's Wharf",4.5,0.3805,18.85,46.65,121.85,0.5005,13.2,120.5,"Below ERL","Below ERL","Below ERL","Above ERM","Between ERL and ERM","Between ERL and ERM","Below ERL","Below ERL"
"7","CSP-7","Union Wharf",18.6,2.51,51.2,174,780,4.16,26.9,746,"Between ERL and ERM","Between ERL and ERM","Below ERL","Above ERM","Above ERM","Above ERM","Between ERL and ERM","Above ERM"
"8","CSP-7D","Union Wharf",28,2.25,72.4,267,855,1.47,41.5,525,"Between ERL and ERM","Between ERL and ERM","Below ERL","Above ERM","Above ERM","Above ERM","Between ERL and ERM","Above ERM"
"9","CSP-8","Wright Wharf",8.07,1.53,23.7,78.1,369,1.13,16.9,388,"Below ERL","Between ERL and ERM","Below ERL","Above ERM","Above ERM","Above ERM","Below ERL","Between ERL and ERM"
"10","CSP-9","Holyoke Wharf",14.8,1.47,52.3,192,546,7.82,25.3,544,"Between ERL and ERM","Between ERL and ERM","Below ERL","Above ERM","Above ERM","Above ERM","Between ERL and ERM","Above ERM"
"11","CSP-10","Deake's Wharf",6.635,0.1315,22.6,14.3,17.3,0.037,14,41.5,"Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Below ERL"
"12","CSP-11","Portland Yacht Services",8.55,1.91,43.2,155,195,0.572,24.6,291,"Between ERL and ERM","Between ERL and ERM","Below ERL","Above ERM","Between ERL and ERM","Between ERL and ERM","Between ERL and ERM","Between ERL and ERM"
"13","CSP-12","Ricker's Wharf",10.7,0.221,26.7,23.5,50.7,0.121,15.5,79.9,"Between ERL and ERM","Below ERL","Below ERL","Below ERL","Between ERL and ERM","Below ERL","Below ERL","Below ERL"
"14","CSS-13","South Port Marina",14.7,0.263,48,56.1,80.5,0.567,27.8,136,"Between ERL and ERM","Below ERL","Below ERL","Above ERM","Between ERL and ERM","Between ERL and ERM","Between ERL and ERM","Below ERL"
"15","CSP-14","Aspasia/Sunset Marina",7.78,0.19,23.3,21.1,19.4,0.211,14.3,52.4,"Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Between ERL and ERM","Below ERL","Below ERL"
"16","CSS-15","Port Harbor/ Breakwater Marina",4.755,0.2425,20,11.32,23.2,0.218,11.7,39.2,"Below ERL","Below ERL","Below ERL","Below ERL","Below ERL","Between ERL and ERM","Below ERL","Below ERL"
